CLAVE,NOMBRE,DESCRIPCION
060-070-0165-01,AMPULAS PARA ESTERILIZAR EN GAS DE OXIDO DE ETILENO ,CAJA CON 12 FRASCOS
060-999-0395-01,ANTIFAZ PARA FOTOTERAPIA NO. 720,CAJA CON 50 FRASCOS
060-999-0025-00,ANTIFAZ PARA FOTOTERAPIA NO. 721. PREMATURO,CAJA CON 50 FRASCOS
060-999-0024-00,ANTIFAZ PARA FOTOTERAPIA NO. 722. PREMATURO  ,CAJA CON 50 FRASCOS
060-066-1093-99,ANTISÉPTICO SOLUCIÓN APLICADOR SEPP DE 0.67 ML GLUCONATO DE CLORHEXIDINA AL 2% Y ALCOHOL ISOPROPILICO AL 70% ,"PIEZA CC-13 ,CAJA CON 200 FRASCOS"
060-066-1052-02,ANTISÉPTICO SOLUCIÓN CON GLUCONATO DE CLORHEXIDINA AL 2% P/V  EN ALCOHOL ISOPROPÍLICO AL 70%,"CONTIENE: 3 ML.ENVASE APLICADOR, CON TINTA NARANJA O ROSA O INCOLORO"
060-082-0104-00,APLICADOR CON ALGODÓN DE MADERA NO ESTERIL,ENVASE CON 100 PIEZAS. 
060-082-0021-01,APLICADOR CON ALGODÓN DE PLÁSTICO.,ENVASE CON 150 PIEZAS. 
060-999-0181-00,APOSITO ADHESIVO OVALADO  8.5 X 10.5,CAJA CON 50 FRASCOS
060-999-0162-00,APOSITO ADHESIVO TEGADER PAD 5 X 7 CM,CAJA CON 50 FRASCOS
060-999-0166-00,APOSITO ADHESIVO TEGADERM FILLM 6X 7,CAJA CON 100 FRASCOS
060-999-0165-00,APOSITO ADHESIVO TEGADERM FILM 4.4 X 4.4,CAJA CON 100 FRASCOS
060-999-0160-00,APOSITO ADHESIVO TEGADERM PAD 9 X 10,CAJA CON 50 FRASCOS
060-999-0161-00,APOSITO AUTOADHERIBLE 5 X 5.7 CM,CAJA CON 100 FRASCOS
060-088-0025-14,"APOSITOS,  MEDIDAS: 10.0 CM A 10.16 X 12.0 A 14.0 CM.","TRANSPARENTE, MICROPOROSO, AUTOADHERIBLES, ESTERILES Y DESECHABLES. CAJA CON 50 FRASCOS"
060-088-0017-12,"APOSITOS, MEDIDAS: 7.0 CM A 8.5 CM X 5.08 CM A 6.0 CM.","TRANSPARENTE, MICROPOROSO, AUTOADHERIBLES, ESTERILES Y DESECHABLES. CAJA CON 50 FRASCOS"
060-110-0124-99,BALÓN P/REANIM. RESP ADULTO (AMBU),PIEZA DESECHABLE
060-110-0126-00,BALÓN P/REANIM. RESP. NEONATAL (AMBU),PIEZA DESECHABLE
060-110-0134-99,BALÓN P/REANIM. RESP. PEDIÁTRICO (AMBU) ,PIEZA DESECHABLE
060-231-0641-00,BATA QUIRÚRGICA CON PUÑOS AJUSTABLES Y REFUERZO EN MANGAS Y PECHO. ,TAMAÑO: GRANDE. PIEZA.
060-125-0001-99,BOLSA BALON RESPIRATORIO 4LTS,PIEZA 4 LTS
060-125-1044-00,BOLSA BALON RESPIRATORIO P/ANEST. DIAM 22 MM 2.5 LTS,PIEZA 2.5 LTS
060-125-1077-03,BOLSA BALON RESPIRATORIO P/ANEST. DIAM. 22MM 5.0 LTS,PIEZA 5 LTS
060-125-1051-03,"BOLSA BALON RESPIRATORIO, DE CAPACIDAD 3.0 L",ELECTROCONDUCTOR CON DOS PLIEGUES PARA APARATO DE ANESTESIA 
060-125-1036-03,"BOLSA BALON RESPIRATORIO, DE CAPACIDAD 2.0 L",ELECTROCONDUCTOR CON DOS PLIEGUES PARA APARATO DE ANESTESIA 
060-125-0319-03,"BOLSA BALON RESPIRATORIO, DE CAPACIDAD 0.5 L",ELECTROCONDUCTOR CON DOS PLIEGUES PARA APARATO DE ANESTESIA 
060-125-1010-03,"BOLSA BALON RESPIRATORIO, DE CAPACIDAD 1 L",ELECTROCONDUCTOR CON DOS PLIEGUES PARA APARATO DE ANESTESIA 
060-125-1028-02,"BOLSA BALON RESPIRATORIO, DE CAPACIDAD 1.5 L",ELECTROCONDUCTOR CON DOS PLIEGUES PARA APARATO DE ANESTESIA 
060-125-1895-13,BOLSA MIXTA PARA ESTERILIZAR A  GAS  25 X 36 CMS,CAJA CON 1000 PIEZAS
060-125-1937-14,BOLSAS DE PAPEL PARA ESTERILIZAR CON GAS O VAPOR.  7.5 X 58 CM,"GRADO MÉDICO, CON POROSIDAD CONTROLADA, HIDRÓFUGO, ENVASE CON 1000 PIEZAS"
060-125-1960-13,BOLSA MIXTA PARA ESTERILIZAR A GAS  20 X 42 CMS,CAJA CON 1000 PIEZAS
060-125-1887-13,BOLSA MIXTA PARA ESTERILIZAR A GAS 10 X 42 CMS,CAJA CON 1000 PIEZAS
060-125-1945-13,BOLSA MIXTA PARA ESTERILIZAR A GAS 30 X 51 CMS,CAJA CON 500 PIEZAS
060-125-1929-13,BOLSA MIXTA PARA ESTERILIZAR A GAS 40 X 58 CMS,CAJA CON 250 PIEZAS
060-125-1861-13,BOLSAS DE PAPEL  PARA ESTERILIZAR CON GAS O VAPOR.  DE: 7.5 X 28 CM.,"GRADO MÉDICO, CON POROSIDAD CONTROLADA, HIDRÓFUGO,CON O SIN TRATAMIENTO ANTIBACTERIANO, CON REACTIVO QUÍMICO IMPRESO Y PELÍCULA PLÁSTICA TRANSPARENTE, TERMOSOLDABLE, ENVASE CON 1000 PIEZAS"
060-999-0140-00,BOLSA MORTAJA,PIEZA
060-125-2844-13,BOLSA PARA ESTERILIZAR A  GAS 32 X 62 X 12  Nº 17 ,CAJA CON 250 PIEZAS
060-125-2869-00,BOLSA PARA ESTERILIZAR EN GAS O VAPOR DE 11 X 18 X 4 CMS,CAJA CON 1000 PIEZAS
060-125-2679-13,BOLSA PARA ESTERILIZAR EN GAS O VAPOR DE 12.0 X 26 X 4.0 CMS,CAJA CON 1000 PIEZAS
060-125-2711-13,BOLSA PARA ESTERILIZAR EN GAS O VAPOR DE 7.5 X 48.0 X 4.0 CMS,CAJA CON 1000 PIEZAS
060-125-2695-12,BOLSA PARA ESTERILIZAR EN GAS O VAPOR DE 14.0 X 33 X 4.5 CMS,CAJA CON 1000 PIEZAS
060-125-2877-13,BOLSA PARA ESTERILIZAR EN GAS O VAPOR DE 18 X 33 X 6 CMS,CAJA CON 1000 PIEZAS
060-125-2836-11,BOLSA PARA ESTERILIZAR EN GAS O VAPOR DE 25 X 38 X 8 CMS,CAJA CON 500 PIEZAS
060-125-3917-02,BOLSAS PARA ILEOSTOMIA Y COLOSTOMIA. TAMANO NEONATAL,CAJA CON 10 PIEZAS
060-125-1879-11,BOLSAS PARA RECOLECCION DE ORINA. CAPACIDAD 2000 ML.,PIEZA
060-125-0244-11,BOLSAS PARA UROCULTIVO (NINA).,"CON CAPACIDAD DE 50 ML Y ESCALA DE 10, 20, 30 Y 50 ML, AREA ADHESIVA DE 45 X 60 MM"
060-125-0228-11,BOLSAS PARA UROCULTIVO (NIÑO). ,"CON CAPACIDAD DE 50 ML Y ESCALA DE 10, 20, 30 Y 50 ML. AREA ADHESIVA DE 45 X 60 MM.PIEZA"
060-130-0015-01,BOTA QUIRURGICA DE TELA NO TEJIDA 100% DE POLIPROPILENO.,EMPAQUE CON 25 PIEZAS
060-132-0203-01,BRAZALETES PARA IDENTIFICACION. DE PLASTICO INFANTIL. PIEZA,PIEZA
060-157-0104-00,CAL SODADA,LATA CON 16 KGS
060-168-8138-11,"CÁNULA PARA TRAQUEOSTOMÍA, ADULTO, 8","DIÁMETRO INTERNO: 8.0 MM +/- 0.2 MM, DIÁMETRO EXTERNO: 11.3 MM +/- 0.5 MM, LONGITUD: 74 MM +/- 5 MM. PIEZA."
060-168-8237-12,"CÁNULA PARA TRAQUEOSTOMÍA, ADULTO, 7","DIÁMETRO INTERNO: 7.0 MM +/- 0.2 MM, DIÁMETRO EXTERNO 9.6 MM +/- 0.5 MM, LONGITUD: 70 MM +/- 5 MM. PIEZA"
060-166-0104-00,CANULA YANKAUER 20 CON TUBO,PIEZA
060-167-3312-12,CANULAS OROFARINGEAS. TIPO: GUEDEL/BERMAN. TAMAÑO: 1. LONGITUD: 60 MM,PIEZA
060-167-3320-12,CANULAS OROFARINGEAS.TIPO: GUEDEL/BERMAN. TAMAÑO: 3. LONGITUD: 80 MM,PIEZA
060-167-0482-04,CANULAS OROFARINGEAS.TIPO: GUEDEL/BERMAN. TAMAÑO: 4. LONGITUD: 90 MM,PIEZA
060-167-3346-07,CANULAS OROFARINGEAS. TIPO: GUEDEL/BERMAN. TAMAÑO: 5. LONGITUD: 100 MM,PIEZA
060-167-0680-04,CANULAS OROFARINGEAS TIPO: GUEDEL/BERMAN. TAMAÑO: 6. LONGITUD: 110 MM,PIEZA
060-167-0458-06,CANULAS OROFARINGEAS TIPO: GUEDEL/BERMAN. TAMAÑO: 0. LONGITUD: 50 MM,PIEZA
060-167-3304-12,CANULAS OROFARINGEAS TIPO: GUEDEL/BERMAN. TAMAÑO: 00. LONGITUD: 40 MM,PIEZA
060-167-0466-05,"CANULAS OROFARINGEAS, TIPO: GUEDEL/BERMAN. TAMAÑO: 2. LONGITUD: 70 MM",PIEZA
060-166-0301-05,"CANULAS PARA TRAQUEOSTOMIA, PEDIATRICA, DIAMETRO INTERNO. 3.0 MM +/-0.15 MM",PIEZA
060-167-6935-11,"CANULAS PARA TRAQUEOSTOMIA, PEDIATRICA, DIAMETRO INTERNO. 3.5 MM +/-0.15 MM",PIEZA
060-167-0920-11,"CANULAS PARA TRAQUEOSTOMIA, PEDIATRICA, DIAMETRO INTERNO. 4.0 MM +/-0.15 MM",PIEZA
060-167-0946-11,"CANULAS PARA TRAQUEOSTOMIA, PEDIATRICA, DIAMETRO INTERNO. 4.5 MM +/-0.15 MM",PIEZA
060-167-8725-11,"CANULAS PARA TRAQUEOSTOMIA, PEDIATRICA, DIAMETRO INTERNO. 5.0 MM +/- 0.15 MM",PIEZA
060-167-0979-11,"CANULAS PARA TRAQUEOSTOMIA, PEDIATRICA, DIAMETRO INTERNO. 5.5 MM +/-0.15 MM",PIEZA
060-167-0805-01,CANULAS PARA TRAQUEOSTOMIA. CONSTAN DE CIERRE ROTATORIO. TIPO: JACKSON. CALIBRE: 3,PIEZA
060-167-0821-01,CANULAS PARA TRAQUEOSTOMIA. CONSTAN DE CIERRE ROTATORIO  TIPO: JACKSON. CALIBRE: 4,PIEZA
060-167-0847-01,"CANULAS PARA TRAQUEOSTOMIA. CONSTAN DE CIERRE ROTATORIO, TIPO: JACKSON. CALIBRE: 5",PIEZA
060-166-2943-03,"CANULAS PARA TRAQUEOSTOMIA. NEONATAL, DIAMETRO INTERNO. 4.0",PIEZA
060-166-3018-99,"CANULAS PARA TRAQUEOSTOMIA. NEONATAL, DIAMETRO INTERNO. 4.5",PIEZA
060-889-0159-99,CARETA PROTECTORA ,CAJA CON 3 PIEZAS
060-001-0063-99,CATETER CENTRAL PERCUTANEO NEONATAL 1.9 FR ,PIEZA
060-999-9985-00,"CATÉTER VENOSO CENTRAL, NUTRILINE TWINFLO DOBLE VÍA, 2 FR ","LONG 300 MM, 24 G, PUR BIO-ESTABLE, TERMOSENSIBLE. VOLUMEN MUERTO 2 X 0.2 ML, FLUJO 1.45 ML/MIN X 2 VÍAS. MARCADO CENTIMETRICO Y DOBLE MARCADO CADA 5 CM."
060-999-9989-00,"CATÉTER PERIFÉRICO CENTRAL PICC, 1 Y 2 VÍAS DE POLIURETANO  2FR","BIO ESTABLE, ENTERAMENTE ORX"
060-999-9991-00,"CONECTOR ESTÉRIL DESECHABLE TIPO BIONECTOR VERDE CON BLANCO,  DIÁMETRO INTERNO 16 GA","DE ACERO INOXIDABLE GRADO MEDICO, VOLUMEN MUERTO 0.02 ML, 170ML/MN."
060-999-9992-00,"CATÉTER VENOSO CENTRAL IV, DE POLIURETANO, DIÁMETROS INTERNOS DISTAL 14 GA, MEDIAL 18 GA","TERMO SENSIBLE BIO ESTABLE, JERINGA DE 5 ML. "
060-999-9993-00,"SONDA PARA DRENAJE PLEURAL DE PVC, ORX,  16 FE, LONG. 25 CM, 2 ORIFICIOS LATERALES",PIEZA
060-999-9995-00,"SONDA PARA DRENAJE PLEURAL DE PVC, ORX, 30 FR, LONG. 28 CM, CON 2 ORIFICIOS LATERALES",PIEZA
060-165-0815-01,CATETER CENTRAL PERCUTANEO.NEONATAL 2 FR,PIEZA
060-999-0035-00,CATETER TORAXICO RECTO 24 FR. 4 ORIFICIOS,PIEZA
060-001-0028-00,CATETER PARA DRENAJE TORAXICO CAL 32 FR,PIEZA
060-167-3726-11,CATETER PARA DRENAJE TORAXICO. CALIBRE 28 FR,PIEZA
060-165-0864-01,CATETER PARA DRENAJE TORAXICO. CALIBRE 12.0 FR,PIEZA
060-167-7974-11,CATETER PARA NEUMOTORAX CON VALVULA DE HEIMLICH CON AGUJA 18 G CALIBRE 8 FR,PIEZA
060-168-4475-00,CATÉTER PARA VENOCLISIS CON AGUJA. CALIBRE 17,ENVASE CON 50 PIEZAS.
060-168-5647-00,CATÉTERES.PARA VENOCLISIS. CALIBRE:28-34 MM 19 G,ENVASE CON 50 PIEZAS.
060-166-0103-04,"CATETERES. PARA VENOCLISIS. LONGITUD: 17- 24 MM, CALIBRE: 24 G. ",ENVASE CON 50 PIEZAS.
060-168-6686-12,CATÉTERES.PARA VENOCLISIS. LONGITUD: CALIBRE:23-27 MM 22 G,ENVASE CON 50 PIEZAS.
060-168-6645-13,CATÉTER PARA VENOCLISIS. LONGITUD: 28-34 MM. CALIBRE: 18 G,ENVASE CON 50 PIEZAS.
060-168-6660-12,CATÉTER PARA VENOCLISIS. LONGITUD: 28-34 MM. CALIBRE: 20 G,ENVASE CON 50 PIEZAS.
060-168-6603-12,CATÉTER PARA VENOCLISIS. LONGITUD: 46-52 MM. CALIBRE: 14 G ,ENVASE CON 50 PIEZAS.
060-168-6629-13,CATÉTER PARA VENOCLISIS. LONGITUD: 46-52 MM. CALIBRE: 16 G,ENVASE CON 50 PIEZAS.
060-166-1903-00,CATETER VENOSO CENTRAL 2 LUMEN 4 FR ,PIEZA
060-167-6353-99,CATETER VENOSO CENTRAL 7FR 2 LUMEN ,PIEZA
060-167-0124-00,CATETER VENOSO CENTRAL PERCUTANEO 2 FR. 28 CM. DOBLE LUMEN,PIEZA
060-166-1911-03,"CATETER VENOSO CENTRAL, CALIBRE 5 FR Y 13 CM DE LONGITUD. CALIBRE 20 G",PIEZA
060-167-6661-12,"CATETERES PARA CATETERISMO VENOSO CENTRAL, CALIBRE 7 FR X 20 CM DE LONGITUD, CALIBRE 18 G","PIEZA, DISPOSITIVO DE FIJACION AJUSTABLE"
060-165-0849-01,"CATETERES PARA CATETERISMO VENOSO CENTRAL, DE DOBLE LUMEN, TAMANO NEONATAL. CALIBRE 1.9 A 3.0 FR",PIEZA
060-167-5010-11,CATETERES PARA SUMINISTRO DE OXIGENO. DIAMETRO INTERNO DE 2 MM. LONGITUD. 180 CM,PIEZA
060-167-6638-12,"CATETERES PARA VASOS UMBILICALES. CALIBRE: 3.5 FR. CON ACOTACIONES A 5, 10 Y 15 CM",PIEZA
060-167-6646-12,"CATETERES PARA VASOS UMBILICALES. CALIBRE: 5.0 FR. CON ACOTACIONES A 5, 10 Y 15 CM",PIEZA
060-189-0304-11,CEPILLO PARA USO QUIRÚRGICO,PIEZA
060-189-0056-11,"CEPILLOS PARA LAVADO DE INSTRUMENTAL. CON CERDAS DE FIBRA VEGETAL, LECHUGUILLA. INSTRUMENTOS",PIEZA
060-203-0108-11,CINTA MÉTRICA. LONGITUD: 1.50 M,PIEZA
060-203-0397-11,"CINTA MICROPOROSA, DE TELA NO TEJIDA, UNIDIRECCIONAL, DE COLOR BLANCO, CON RECUBRIMIENTOS ADHESIVOS EN UNA DE SUS CARAS","LONGITUD 10 MTS, ANCHO 2.50 CM. ENVASE CON 12 ROLLOS."
060-203-0363-11,"CINTA MICROPOROSA, DE TELA NO TEJIDA, UNIDIRECCIONAL, DE COLOR BLANCO, CON RECUBRIMIENTOS ADHESIVOS EN UNA DE SUS CARAS","LONGITUD 10 MTS, ANCHO 5.00 CM. ENVASE CON 6 ROLLOS."
060-203-0207-11,CINTA PARA ESTELIRIZACIÓN EN VAPOR A PRESIÓN. TAMAÑO: 18 MM X 50 M,ROLLO
060-203-0298-11,CINTA TESTIGO PARA ESTERILIZACIÓN CON GAS DE ÓXIDO DE ETILENO. TAMAÑO: 18 MM X 50 M,
060-203-0165-11,"CINTA UMBILICAL DE ALGODÓN, TEJIDO PLANO (TRENZADO DE 21 HILOS), ESTÉRILES","LONGITUD 41 CM, ANCHO 4 MM. ENVASE CON 100 SOBRES."
060-999-0214-00,CIRCUITO EN T PARA REANIMACIÓN NEONATOS,PIEZA
060-207-0013-02,"CIRCUITOS DE VENTILACIÓN PARA ANESTESIA, DE POLIVINILO","EQUIPO CONSTA DE DOS MANGUERAS, UN FILTRO, CONEXIÓN EN ""Y"" DE PLÁSTICO, CODO, MASCARILLA Y BOLSAS DE 3 Y 5 LTS"
060-207-0015-00,CIRCUITOS DESECHABLE UNIVERSAL C/TRAMPA DE AGUA,
060-999-0051-00,CLAMP UMBILICAL,CAJA CON 50 PIEZAS
060-231-0104-11,"COMPRESAS PARA VIENTRE. DEL ALGODÓN, CON TRAMA RADIOPACA. ","LONGITUD: 70 CM, ANCHO 45 CM. ENVASE CON 6 PIEZAS."
060-233-0037-11,CONECTORES DE DOS VIAS EN ( Y )," DE PLASTICO, DESECHABLE.PIEZA"
060-233-0011-11,CONECTORES DE UNA VIA. DE PLASTICO,DESECHABLES. TIPO: SIMS. DELGADO.PIEZA
060-233-0052-11,CONECTORES DE UNA VÍA,"DE PLÁSTICO, DESECHABLES. TIPO: SIMS. GRUESO. PIEZA"
060-621-0524-01,CUBREBOCA DE DOS CAPAS DE TELA NO TEJIDA,DESECHABLE. CON 150PZ
060-785-0064-99,CUBREBOCAS TIPO CONCHA N95  ,CAJA CON 20 PIEZAS
060-330-0066-11,ELECTRODO NEONATAL,CAJA CON 100 PIEZAS
060-330-0054-00,ELECTRODO ADULTO,CAJA CON 100 PIEZAS
060-345-0159-99,ELECTRODOS PEDIATRICO,CAJA CON 100 PIEZAS
060-345-0503-11,EQUIPO  PARA APLICACIÓN DE VOLÚMENES MEDIDOS,
060-345-2152-07,"EQUIPO BÁSICO PARA BLOQUEO EPIDURAL,","CONTIENE: AGUJA TIPO TUOHY, CALIBRE 16 O 17 G, ESTÉRIL Y DESECHABLE. EQUIPO."
060-345-3424-02,"EQUIPOS. EQUIPO PARA ANESTESIA EPIDURAL,ESTERIL Y DESECHABLE.",
060-345-3788-00,EQUIPO PARA ANESTESIA MIXTA EPIDURAL/SUBDURAL,
060-314-0062-00,EQUIPO PARA DRENAJE DE CAVIDAD PLEURAL CAPACIDAD 2100 A 2500 ML EQUIPO PEDIATRICO,
060-314-0054-11,EQUIPO PARA DRENAJE DE CAVIDAD PLEURAL.  CAPACIDAD 2100 A 2500 ML. EQUIPO ADULTO,
060-345-1865-11,EQUIPO PARA DRENAJE POR ASPIRACIÓN PARA USO POSTQUIRÚRGICO. CON DIÁMETRO EXTERNO DE 3 MM CON VÁLVULA DE REFLUJO Y VÁLVULA DE ACTIVACIÓN,
060-345-1873-11,EQUIPO PARA DRENAJE POR ASPIRACIÓN PARA USO POSTQUIRÚRGICO.  CON DIÁMETRO EXTERNO DE 6 MM CON VÁLVULA DE REFLUJO Y VÁLVULA DE ACTIVACIÓN,
060-345-0305-11,EQUIPO PARA MEDICIÓN DE PRESIÓN VENOSA CENTRAL. CON INDICADOR FLOTANTE.,
060-532-0175-11,"EQUIPO PARA TRANSFUSIÓN, CON FILTRO, SIN AGUJA. EQUIPO",
060-532-0167-11,"EQUIPO PARA VENOCLISIS, SIN AGUJA, ESTÉRILES, DESECHABLES. NORMOGOTERO",
060-532-0084-11,"EQUIPO PARA VENOCLISIS, SIN AGUJA, ESTÉRILES, DESECHABLES. MICROGOTERO",
060-341-0333-11,ESCOBILLONES DE ALAMBRE GALVANIZADO CON CERDAS DE NYLON O DE ORIGEN ANIMAL ,TAMANO: MEDIANO.
060-830-1311-00,FORMALDEHIDO AL 37.7% ,1 LT
060-436-0552-11,"GASA  SECA CORTADA, DE ALGODÓN CON MARCA RADIOPACA. LARGO: 10 CM, ANCHO: 10 CM",ENVASE CON 200 PIEZAS
060-621-0057-99,GASA SECA 7.5 X7.5 CMS,ENVASE CON 100 PIEZAS. 
060-436-0107-01,"GASA SECA CORTADA, DE ALGODÓN 100%. LARGO: 10 CM, ANCHO: 10 CM",ENVASE CON 200 PIEZAS
060-436-0057-13,"GASA SECA CORTADA, DE ALGODÓN 100%. LARGO: 7.5 CM, ANCHO: 5 CM",ENVASE CON 200 PIEZAS
060-436-0206-11,"GASA SIMPLE, SECA.  LARGO: 91 CM, ANCHO: 91 CM","DE ALGODÓN, TIPO HOSPITAL. ROLLO TEJIDO PLANO (DOBLADA)."
060-066-0906-06,GEL ANTISÉPTICO PARA MANOS QUE NO REQUIERE ENGUAJE. ,ENVASE CON 500 ML
060-999-1510-00,GEL PARA ULTRASONIDO ABDOMINAL GALON 3.8 LTS,
060-439-0039-01,"GORRO DE TELA NO TEJIDA DE POLIPROPILENO, DESECHABLE.",ENVASE CON 100 PIEZAS. 
060-439-0040-99,GORRO REDONDO CON ELÁSTICO AJUSTABLE AL CONTORNO DE LA CARA. PACIENTE Y ENFERMERA. DESECHABLE,ENVASE CON 100 PIEZAS. 
060-456-0532-99,GUANTES NO. 7.5 - 8.0  ORTOPEDICO,ENVASE CON 40 PIEZAS. 
060-456-0300-02,"GUANTES PARA CIRUGÍA. DE LÁTEX NATURAL, ESTÉRILES Y DESECHABLES.  TALLA:  6 ½ PAR",
060-456-0318-02,"GUANTES PARA CIRUGÍA. DE LÁTEX NATURAL, ESTÉRILES Y DESECHABLES.  TALLA: 7 PAR",
060-456-0334-02,"GUANTES PARA CIRUGÍA. DE LÁTEX NATURAL, ESTÉRILES Y DESECHABLES.  TALLA: 7 ½  PAR",
060-456-0359-02,"GUANTES PARA CIRUGÍA. DE LÁTEX NATURAL, ESTÉRILES Y DESECHABLES.  TALLA: 8 PAR",
060-456-0383-11,"GUANTES PARA EXPLORACIÓN, TAMAÑOS: CHICO. ",ENVASE CON 100 PIEZAS.
060-456-0409-11,GUANTES PARA EXPLORACIÓN. TAMAÑOS: GRANDE. ,ENVASE CON 100 PIEZAS.
060-456-0391-11,"GUANTES PARA EXPLORACIÓN, TAMAÑOS: MEDIANO. ",ENVASE CON 100 PIEZAS.
060-456-0623-00,"GUANTES. DE NITRILO, AMBIDIESTRO, DESECHABLE, ESTERIL. TAMAÑO: CHICO",CAJA CON 100 PIEZAS
060-456-0649-01,"GUANTES. DE NITRILO, AMBIDIESTRO, DESECHABLE, ESTERIL. TAMAÑO: GRANDE",CAJA CON 100 PIEZAS
060-456-0631-01,"GUANTES. DE NITRILO, AMBIDIESTRO, DESECHABLE, ESTERIL. TAMAÑO: MEDIANO",CAJA CON 100 PIEZAS
060-461-0162-11,"GUATA QUIRÚRGICA DE TELA NO TEJIDA, . LONGITUD 5 M, ANCHO 15 CM. ",ENVASE CON 24 PIEZAS.
060-461-0154-11,"GUATA QUIRÚRGICA DE TELA NO TEJIDA. LONGITUD 5 M, ANCHO 10 CM. ",ENVASE CON 24 PIEZAS.
060-470-0112-12,HEMOSTÁTICO. ESPONJA HEMOSTÁTICA DE GELATINA O COLÁGENO.50 A 100 X 70 A 125 MM.,ENVASE CON UNA PIEZA
060-999-0144-00,HIPAFIX 10 CM X 10M,
060-483-0158-99,HOJA DE BISTURÍ # 21 ,CAJA CON 100 PIEZAS
060-483-0159-00,HOJA DE BISTURI NUM. 22 ,CAJA CON 100 PIEZAS
060-483-0174-00,HOJA PARA BISTURÍ NO. 23 ,CAJA CON 100 PIEZAS
060-483-0091-00,HOJAS PARA BISTURÍ NO. 10 ,CAJA CON 100 PIEZAS
060-483-0141-00,HOJAS PARA BISTURÍ NO. 15,CAJA CON 100 PIEZAS
060-483-0133-00,HOJAS PARA BISTURÍ NO. 20,CAJA CON 100 PIEZAS
060-066-0666-12,IODOPOVIDONA SOLUCIÓN,"CADA 100 ML CONTIENEN: IODOPOVIDONA, SOLUCIÓN 11 G. EQUIVALENTE A 1.1 G DE YODO. ENVASE CON 3.5 LTS."
060-066-0658-12,"IODOPOVIDONA, ESPUMA","CADA 100 ML CONTIENE: IODOPOVIDONA 8 G, EQUIVALENTE A 0.8 G DE YODO. ENVASE CON 3.5 LTS."
060-066-0062-02,JABONES PARA USO PREQUIRURGICO. LIQUIDO Y NEUTRO (PH 7),ENVASE C/3.850 L
060-543-0115-11,JALEA LUBRICANTE. ASÉPTICA,ENVASE CON 135 GR.
060-550-0354-11,"JERINGAS DE PLASTICO, CAPACIDAD 10 ML","CAJA C/100 PZAS., ESCALA GRADUADA EN ML, CON DIVISIONES DE 1.0 Y SUBDIVISIONES DE 0.2, CON AGUJA CALIBRE. 20 G Y LONGITUD 32 MM."
060-550-0842-00,"JERINGAS DE PLASTICO, DESECHABLES, CON AGUJA RETRACTABLE 3 ML 21 G X 25 MM",ENVASE CON 100 PIEZAS
060-550-1279-01,"JERINGA. DE PLÁSTICO GRADO MÉDICO, CON PIVOTE TIPO LUER LOCK, CAPACIDAD DE 3 ML","ESCALA GRADUADA EN ML CON DIVISIONES DE 0.5 ML Y SUBDIVISIONES DE 0.1 ML, CON AGUJA CALIBRE 22 G Y 32 MM DE LONGITUD.ESTÉRIL Y DESECHABLE. CAJA CON 100 PIEZAS"
